route_id,departure_stop_id,arrival_stop_id,time
"21-U1-j26-2","at:49:949:0:1","at:49:1481:0:1","00:01:00"
"21-U1-j26-2","at:49:1481:0:1","at:49:14:0:8","00:02:00"
"21-U1-j26-2","at:49:14:0:8","at:49:33:0:9","00:02:00"
"21-U1-j26-2","at:49:33:0:9","at:49:1573:0:1","00:01:00"
"21-U1-j26-2","at:49:1573:0:1","at:49:1095:0:6","00:01:00"
"21-U1-j26-2","at:49:1095:0:6","at:49:666:0:4","00:01:00"
"21-U1-j26-2","at:49:666:0:4","at:49:1349:0:3","00:02:00"
"21-U1-j26-2","at:49:1349:0:3","at:49:1366:0:4","00:01:00"
"21-U1-j26-2","at:49:1366:0:4","at:49:657:0:15","00:02:00"
"21-U1-j26-2","at:49:657:0:15","at:49:1320:0:6","00:02:00"
"21-U1-j26-2","at:49:1320:0:6","at:49:1198:0:23","00:01:00"
"21-U1-j26-2","at:49:1198:0:23","at:49:916:0:5","00:01:00"
"21-U1-j26-2","at:49:916:0:5","at:49:1040:0:1","00:02:00"
"21-U1-j26-2","at:49:1040:0:1","at:49:1433:0:6","00:01:00"
"21-U1-j26-2","at:49:1433:0:6","at:49:234:0:3","00:02:00"
"21-U1-j26-2","at:49:234:0:3","at:49:641:0:7","00:01:00"
"21-U1-j26-2","at:49:641:0:7","at:49:31:0:6","00:01:00"
"21-U1-j26-2","at:49:31:0:6","at:49:627:0:18","00:02:00"
"21-U1-j26-2","at:49:627:0:18","at:49:633:0:7","00:02:00"
"21-U1-j26-2","at:49:633:0:7","at:49:1860:0:3","00:01:00"
"21-U1-j26-2","at:49:1860:0:3","at:49:1858:0:1","00:01:00"
"21-U1-j26-2","at:49:1858:0:1","at:49:1859:0:3","00:02:00"
"21-U1-j26-2","at:49:1859:0:3","at:49:769:0:5","00:01:00"
"21-U2-j26-3","at:49:942:0:4","at:49:910:0:6","00:02:00"
"21-U2-j26-3","at:49:910:0:6","at:49:487:0:3","00:02:00"
"21-U2-j26-3","at:49:487:0:3","at:49:1973:0:1","00:01:00"
"21-U2-j26-3","at:49:1973:0:1","at:49:299:0:10","00:01:00"
"21-U2-j26-3","at:49:299:0:10","at:49:1278:0:11","00:01:00"
"21-U2-j26-3","at:49:1278:0:11","at:49:473:0:11","00:01:00"
"21-U2-j26-3","at:49:473:0:11","at:49:1299:0:2","00:01:00"
"21-U2-j26-3","at:49:1299:0:2","at:49:290:0:8","00:02:00"
"21-U2-j26-3","at:49:290:0:8","at:49:282:0:4","00:02:00"
"21-U2-j26-3","at:49:282:0:4","at:49:1894:0:5","00:02:00"
"21-U2-j26-3","at:49:1894:0:5","at:49:1893:0:4","00:01:00"
"21-U2-j26-3","at:49:1893:0:4","at:49:1892:0:7","00:01:00"
"21-U2-j26-3","at:49:1892:0:7","at:49:1040:0:1","00:02:00"
"21-U2-j26-3","at:49:1040:0:1","at:49:1891:0:5","00:01:00"
"21-U2-j26-3","at:49:1891:0:5","at:49:1182:0:11","00:01:00"
"21-U2-j26-3","at:49:1182:0:11","at:49:1184:0:19","00:02:00"
"21-U2-j26-3","at:49:1184:0:19","at:49:1072:0:3","00:02:00"
"21-U2-j26-3","at:49:1072:0:3","at:49:1430:0:10","00:01:00"
"21-U2-j26-3","at:49:1430:0:10","at:49:835:0:4","00:02:00"
"21-U2-j26-3","at:49:835:0:4","at:49:657:0:15","00:02:00"
"21-U3-j26-1","at:49:1260:0:5","at:49:425:0:4","00:01:00"
"21-U3-j26-1","at:49:425:0:4","at:49:399:0:3","00:01:00"
"21-U3-j26-1","at:49:399:0:3","at:49:1749:0:1","00:01:00"
"21-U3-j26-1","at:49:1749:0:1","at:49:289:0:2","00:02:00"
"21-U3-j26-1","at:49:289:0:2","at:49:1199:0:3","00:01:00"
"21-U3-j26-1","at:49:1199:0:3","at:49:653:0:1","00:01:00"
"21-U3-j26-1","at:49:653:0:1","at:49:1104:0:2","00:01:00"
"21-U3-j26-1","at:49:1104:0:2","at:49:743:0:4","00:02:00"
"21-U3-j26-1","at:49:743:0:4","at:49:245:0:6","00:01:00"
"21-U3-j26-1","at:49:245:0:6","at:49:1320:0:6","00:01:00"
"21-U3-j26-1","at:49:1320:0:6","at:49:506:0:2","00:02:00"
"21-U3-j26-1","at:49:506:0:2","at:49:1430:0:10","00:01:00"
"21-U3-j26-1","at:49:1430:0:10","at:49:56:0:5","00:02:00"
"21-U3-j26-1","at:49:56:0:5","at:49:1530:0:2","00:01:00"
"21-U3-j26-1","at:49:1530:0:2","at:49:1468:0:9","00:01:00"
"21-U3-j26-1","at:49:1468:0:9","at:49:1200:0:4","00:02:00"
"21-U3-j26-1","at:49:1200:0:4","at:49:606:0:4","00:02:00"
"21-U3-j26-1","at:49:606:0:4","at:49:1035:0:5","00:01:00"
"21-U3-j26-1","at:49:1035:0:5","at:49:1317:0:2","00:01:00"
"21-U3-j26-1","at:49:1317:0:2","at:49:981:0:11","00:01:00"
"21-U4-j26-1","at:49:560:0:11","at:49:956:0:4","00:02:00"
"21-U4-j26-1","at:49:956:0:4","at:49:1404:0:2","00:02:00"
"21-U4-j26-1","at:49:1404:0:2","at:49:161:0:3","00:01:00"
"21-U4-j26-1","at:49:161:0:3","at:49:520:0:4","00:01:00"
"21-U4-j26-1","at:49:520:0:4","at:49:1211:0:3","00:02:00"
"21-U4-j26-1","at:49:1211:0:3","at:49:863:0:7","00:02:00"
"21-U4-j26-1","at:49:863:0:7","at:49:820:0:8","00:01:00"
"21-U4-j26-1","at:49:820:0:8","at:49:827:0:7","00:02:00"
"21-U4-j26-1","at:49:827:0:7","at:49:1018:0:6","00:02:00"
"21-U4-j26-1","at:49:1018:0:6","at:49:670:0:4","00:01:00"
"21-U4-j26-1","at:49:670:0:4","at:49:657:0:15","00:02:00"
"21-U4-j26-1","at:49:657:0:15","at:49:1305:0:3","00:01:00"
"21-U4-j26-1","at:49:1305:0:3","at:49:743:0:4","00:02:00"
"21-U4-j26-1","at:49:743:0:4","at:49:1198:0:23","00:01:00"
"21-U4-j26-1","at:49:1198:0:23","at:49:1182:0:11","00:02:00"
"21-U4-j26-1","at:49:1182:0:11","at:49:1124:0:2","00:01:00"
"21-U4-j26-1","at:49:1124:0:2","at:49:357:0:3","00:02:00"
"21-U4-j26-1","at:49:357:0:3","at:49:1062:0:11","00:01:00"
"21-U4-j26-1","at:49:1062:0:11","at:49:491:0:8","00:03:00"
"21-U6-j26-3","at:49:1235:0:6","at:49:1007:0:4","00:01:00"
"21-U6-j26-3","at:49:1007:0:4","at:49:285:0:2","00:02:00"
"21-U6-j26-3","at:49:285:0:2","at:49:1499:0:6","00:01:00"
"21-U6-j26-3","at:49:1499:0:6","at:49:48:0:5","00:02:00"
"21-U6-j26-3","at:49:48:0:5","at:49:1394:0:1","00:02:00"
"21-U6-j26-3","at:49:1394:0:1","at:49:1015:0:11","00:02:00"
"21-U6-j26-3","at:49:1015:0:11","at:49:937:0:4","00:01:00"
"21-U6-j26-3","at:49:937:0:4","at:49:820:0:8","00:02:00"
"21-U6-j26-3","at:49:820:0:8","at:49:436:0:8","00:01:00"
"21-U6-j26-3","at:49:436:0:8","at:49:1468:0:9","00:02:00"
"21-U6-j26-3","at:49:1468:0:9","at:49:188:0:1","00:1:00"
"21-U6-j26-3","at:49:188:0:1","at:49:1372:0:9","00:02:00"
"21-U6-j26-3","at:49:1372:0:9","at:49:615:0:7","00:01:00"
"21-U6-j26-3","at:49:615:0:7","at:49:27:0:5","00:02:00"
"21-U6-j26-3","at:49:27:0:5","at:49:874:0:6","00:01:00"
"21-U6-j26-3","at:49:874:0:6","at:49:1510:0:10","00:02:00"
"21-U6-j26-3","at:49:1510:0:10","at:49:950:0:13","00:01:00"
"21-U6-j26-3","at:49:950:0:13","at:49:1062:0:11","00:02:00"
"21-U6-j26-3","at:49:1062:0:11","at:49:1667:0:7","00:01:00"
"21-U6-j26-3","at:49:1667:0:7","at:49:500:0:5","00:02:00"
"21-U6-j26-3","at:49:500:0:5","at:49:1705:0:7","00:01:00"
"21-U6-j26-3","at:49:1705:0:7","at:49:1668:0:3","00:02:00"
"21-U6-j26-3","at:49:1668:0:3","at:49:334:0:15","00:01:00"
