stop_id,stop_name,stop_lat,stop_lon
"at:49:949:0:1","Oberlaa","48.14234065","16.39994926"
"at:49:1481:0:1","Neulaa","48.14566738","16.38615113"
"at:49:14:0:8","Alaudagasse","48.15349483","16.38243211"
"at:49:33:0:9","Altes Landgut","48.16198621","16.38354602"
"at:49:1573:0:1","Troststraße","48.16901435","16.38042887"
"at:49:1095:0:6","Reumannplatz","48.17487339","16.37798545"
"at:49:666:0:4","Keplerplatz","48.17927622","16.37618882"
"at:49:1349:0:3","Südtiroler Pl. - Hbf.","48.18712849","16.37358370"
"at:49:1366:0:4","Taubstummengasse","48.19380586","16.37040367"
"at:49:657:0:15","Karlsplatz","48.20121882","16.36901128"
"at:49:1320:0:6","Stephansplatz","48.20842118","16.37209250"
"at:49:1198:0:23","Schwedenplatz","48.21188730","16.37825494"
"at:49:916:0:5","Nestroyplatz","48.21525740","16.38552231"
"at:49:1040:0:1","Praterstern","48.21960888","16.39293341"
"at:49:1433:0:6","Vorgartenstraße","48.22362484","16.40114402"
"at:49:234:0:3","Donauinsel","48.22915449","16.41142973"
"at:49:641:0:7","Kaisermühlen-VIC","48.23282265","16.41650521"
"at:49:31:0:6","Alte Donau","48.23807609","16.42450920"
"at:49:627:0:18","Kagran","48.24317943","16.43324980"
"at:49:633:0:7","Kagraner Platz","48.25036393","16.44342772"
"at:49:1860:0:3","Rennbahnweg","48.25755937","16.44965304"
"at:49:1858:0:1","Aderklaaer Straße","48.26342025","16.45167425"
"at:49:1859:0:3","Großfeldsiedlung","48.27103839","16.44794624"
"at:49:769:0:5","Leopoldau","48.27755537","16.45208748"
"at:49:942:0:4","Seestadt","48.22582121","16.50825913"
"at:49:910:0:6","Aspern Nord","48.23455790","16.50452214"
"at:49:487:0:3","Hausfeldstraße","48.23344495","16.48567548"
"at:49:1973:0:1","Lina-Loos-Platz","48.22830474","16.47846201"
"at:49:299:0:10","Aspernstraße","48.22260143","16.47485977"
"at:49:1278:0:11","Donauspital","48.21947122","16.46650544"
"at:49:473:0:11","Hardeggasse","48.22093759","16.45776483"
"at:49:1299:0:2","Stadlau","48.21974055","16.44936558"
"at:49:290:0:8","Donaustadtbrücke","48.21179750","16.44005903"
"at:49:282:0:4","Donaumarina","48.20631985","16.43121063"
"at:49:1894:0:5","Stadion","48.21071998","16.42037695"
"at:49:1893:0:4","Krieau","48.21471868","16.41377433"
"at:49:1892:0:7","Messe-Prater","48.21781925","16.40503372"
"at:49:1891:0:5","Taborstraße","48.21930961","16.38113853"
"at:49:1182:0:11","Schottenring","48.21746611","16.37199368"
"at:49:1184:0:19","Schottentor","48.21507184","16.36285782"
"at:49:1072:0:3","Rathaus","48.21074991","16.35550062"
"at:49:1430:0:10","Volkstheater","48.20536794","16.35757572"
"at:49:835:0:4","Museumsquartier","48.20268572","16.36116899"
"at:49:1260:0:5","Simmering","48.16967936","16.42077220"
"at:49:425:0:4","Enkplatz","48.17481348","16.41487027"
"at:49:399:0:3","Zippererstraße","48.18019867","16.41217533"
"at:49:1749:0:1","Gasometer","48.18488254","16.41732267"
"at:49:289:0:2","Erdberg","48.19147038","16.41416060"
"at:49:1199:0:3","Schlachthausgasse","48.19449451","16.40665069"
"at:49:653:0:1","Kardinal-Nagl-Platz","48.19750649","16.40007502"
"at:49:1104:0:2","Rochusgasse","48.20228457","16.39198120"
"at:49:743:0:4","Mitte-Landstraße","48.20578702","16.38569299"
"at:49:245:0:6","Stubentor","48.20700833","16.37928800"
"at:49:506:0:2","Herrengasse","48.20939699","16.36508564"
"at:49:56:0:5","Neubaugasse","48.19924294","16.35247329"
"at:49:1530:0:2","Zieglergasse","48.19708734","16.34628390"
"at:49:1468:0:9","Westbahnhof","48.19598555","16.33842364"
"at:49:1200:0:4","Schweglerstraße","48.19789570","16.32861404"
"at:49:606:0:4","Johnstraße","48.19767415","16.32024174"
"at:49:1035:0:5","Hütteldorfer Straße","48.19982972","16.31146520"
"at:49:1317:0:2","Kendlerstraße","48.20457167","16.30921043"
"at:49:981:0:11","Ottakring","48.21145629","16.31154605"
"at:49:560:0:11","Hütteldorf","48.19697955","16.26060259"
"at:49:956:0:4","Ober St. Veit","48.19220696","16.27614344"
"at:49:1404:0:2","Unter St. Veit","48.19108711","16.28598000"
"at:49:161:0:3","Braunschweiggasse","48.18937434","16.29580757"
"at:49:520:0:4","Hietzing","48.18752376","16.30480868"
"at:49:1211:0:3","Schönbrunn","48.18601451","16.31893020"
"at:49:863:0:7","Meidling Hauptstraße","48.18360080","16.32793132"
"at:49:820:0:8","Längenfeldgasse","48.18483462","16.33501903"
"at:49:827:0:7","Margaretengürtel","48.18845205","16.34303200"
"at:49:1018:0:6","Pilgramgasse","48.19214109","16.35433281"
"at:49:670:0:4","Kettenbrückengasse","48.19660231","16.35810573"
"at:49:1305:0:3","Stadtpark","48.20282941","16.37971021"
"at:49:1124:0:2","Roßauer Lände","48.22234407","16.36761889"
"at:49:357:0:3","Friedensbrücke","48.22781403","16.36407054"
"at:49:1062:0:11","Spittelau","48.23487503","16.35859980"
"at:49:491:0:8","Heiligenstadt","48.24862921","16.36596599"
"at:49:1235:0:6","Siebenhirten","48.13003288","16.30977637"
"at:49:1007:0:4","Perfektastraße","48.13663376","16.31332471"
"at:49:285:0:2","Erlaaer Straße","48.14229869","16.31661255"
"at:49:1499:0:6","Alterlaa","48.15072000","16.31696289"
"at:49:48:0:5","Am Schöpfwerk","48.16066795","16.32425721"
"at:49:1394:0:1","Tscherttegasse","48.16472448","16.32758996"
"at:49:1015:0:11","Meidling","48.17350754","16.33147068"
"at:49:937:0:4","Niederhofstraße","48.18081562","16.33119220"
"at:49:436:0:8","Gumpendorfer Straße","48.19084756","16.33758821"
"at:49:188:0:1","Burggasse-Stadthalle","48.20329043","16.33727380"
"at:49:1372:0:9","Thaliastraße","48.20776266","16.33804635"
"at:49:615:0:7","Josefstädter Straße","48.21149221","16.33922314"
"at:49:27:0:5","Alser Straße","48.21680769","16.34189114"
"at:49:874:0:6","Michelbeuern-AKH","48.22121889","16.34426269"
"at:49:1510:0:10","Währinger Str.-Volksoper","48.22558183","16.34956275"
"at:49:950:0:13","Nußdorfer Straße","48.23129678","16.35250923"
"at:49:1667:0:7","Jägerstraße","48.23519813","16.36868788"
"at:49:500:0:5","Dresdner Straße","48.23721452","16.38010547"
"at:49:1705:0:7","Handelskai","48.24181540","16.38571994"
"at:49:1668:0:3","Neue Donau","48.24637998","16.39486479"
"at:49:334:0:15","Floridsdorf","48.25618974","16.40051519"
